method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
IntegratedGradients,0.9148325358851674,0.912926203500872,0.9148325358851674,5,1,1,1,0,0,1,1,0,3
IntegratedGradients,0.9215311004784688,0.9196443529623692,0.9215311004784688,1,1,0,1,0,0,1,1,0,4
IntegratedGradients,0.8956937799043062,0.892404621323029,0.8956937799043062,2,1,0,1,0,0,1,1,0,4
IntegratedGradients,0.9090909090909092,0.9053582025174384,0.9090909090909092,3,1,0,1,0,0,1,1,0,4
IntegratedGradients,0.908133971291866,0.903729567977414,0.908133971291866,4,1,0,1,0,0,1,1,0,4
IntegratedGradients,0.910047846889952,0.9063652648385708,0.910047846889952,5,1,0,1,0,0,1,1,0,4
IntegratedGradients,0.9196172248803828,0.9173259314924892,0.9196172248803828,1,1,0,0,0,0,1,1,0,5
IntegratedGradients,0.9234449760765552,0.9198798772897048,0.9234449760765552,2,1,0,0,0,0,1,1,0,5
IntegratedGradients,0.8382775119617225,0.8299074468836811,0.8382775119617225,3,1,0,0,0,0,1,1,0,5
IntegratedGradients,0.9234449760765552,0.9210148444545416,0.9234449760765552,4,1,0,0,0,0,1,1,0,5
IntegratedGradients,0.9052631578947368,0.902805968549908,0.9052631578947368,5,1,0,0,0,0,1,1,0,5
IntegratedGradients,0.8114832535885167,0.8009259274550706,0.8114832535885167,1,0,0,0,0,0,1,1,0,6
IntegratedGradients,0.8937799043062201,0.891119892965516,0.8937799043062201,2,0,0,0,0,0,1,1,0,6
IntegratedGradients,0.8688995215311005,0.8641179282995457,0.8688995215311005,3,0,0,0,0,0,1,1,0,6
IntegratedGradients,0.9110047846889952,0.907401721395212,0.9110047846889952,4,0,0,0,0,0,1,1,0,6
IntegratedGradients,0.8688995215311005,0.8642022380921089,0.8688995215311005,5,0,0,0,0,0,1,1,0,6
IntegratedGradients,0.7655502392344498,0.756067249653252,0.7655502392344498,1,0,0,0,0,0,1,0,0,7
IntegratedGradients,0.7100478468899522,0.7029868051360381,0.7100478468899522,2,0,0,0,0,0,1,0,0,7
IntegratedGradients,0.722488038277512,0.7186222310741628,0.722488038277512,3,0,0,0,0,0,1,0,0,7
IntegratedGradients,0.6717703349282297,0.6689492203744988,0.6717703349282297,4,0,0,0,0,0,1,0,0,7
IntegratedGradients,0.7674641148325358,0.7598077630303964,0.7674641148325358,5,0,0,0,0,0,1,0,0,7
LRP,0.9339712918660288,0.9321841505474928,0.9339712918660288,1,1,1,1,1,1,1,1,1,0
LRP,0.95311004784689,0.9514052086351612,0.95311004784689,2,1,1,1,1,1,1,1,1,0
LRP,0.9511961722488038,0.94947105459789,0.9511961722488038,3,1,1,1,1,1,1,1,1,0
LRP,0.9263157894736842,0.924333149780836,0.9263157894736842,4,1,1,1,1,1,1,1,1,0
LRP,0.9435406698564592,0.9414756978033618,0.9435406698564592,5,1,1,1,1,1,1,1,1,0
